'[New]','[PATCH] Staging: dgnc: dgnc_cls.h: fixed four coding style warnings','Sakshi Bansal'
'[New]','[PATCH] Staging: dgnc: dgnc_driver.c: fixed twelve coding style wa ...','Sakshi Bansal'
' ','mmotm 2015-01-22-15-04: qemu failures due to 'mm: account pmd  ...','Guenter Roeck'
' ','[net-next] net: netcp: remove unused kconfig option and code','David Miller'
' ','[Intel-gfx] [BUG, bisect] drm/i915: mouse pointer lags and ove ...','Jeremiah Mahler'
' ','mmotm 2015-01-23-16-19: build failures due to 'mm/page_alloc.c: do ...','Guenter Roeck'
' ','mmotm 2015-01-22-15-04: qemu failure due to 'mm: memcontrol: r ...','Johannes Weiner'
' ','[alsa-devel] [PATCH v2 3/3] ASoC: add generic dt-card support','Jean-Francois Moine'
' ','[GIT PULL for v3.19-rc6] media fixes','Mauro Carvalho Chehab'
'[New]','[GIT PULL for v3.19-rc6] media fixes','Mauro Carvalho Chehab'
' ','[PATCH] spmi: pmic_arb: add support for hw version 2','Stanimir Varbanov'
'[New]','NAPOMENA: Odgovor pošaljite na ovaj e-mail: standardloanofficial2 ...','mno-19806@kopteri ...'
' ','[PATCH v2 0/5] Overhaul the audit filename handling','Sedat Dilek'
' ','N900 v3.19-rc5 arm atags_to_fdt.c is broken','Pali Rohár'
' ','[PATCH] Staging: dgnc: dgnc_cls.h: fixed four coding style war ...','Dan Carpenter'
' ','[PATCH] Staging: dgnc: dgnc_driver.c: fixed twelve coding styl ...','Dan Carpenter'
' ','USB autosuspend causing trouble with bluetooth','Kirill Elagin'
' ','[tip:timers/core] hrtimer: Make __hrtimer_get_next_event() static','tip-bot for kbuild test robot'
' ','futex(2) man page update help request','Thomas Gleixner'
' ','[PATCH v2 1/4] net: stmmac: dwmac-rk: Don't set the regulator  ...','Heiko Stübner'
'[New]','[PATCH v3 0/6] KVM: nVMX: Enable nested apicv support.','Wincy Van'
'[New]','[PATCH v3 1/6] KVM: nVMX: Use hardware MSR bitmap','Wincy Van'
'[New]','[PATCH v3 2/6] KVM: nVMX: Enable nested virtualize x2apic mode.','Wincy Van'
'[New]','[PATCH v3 3/6] KVM: nVMX: Make nested control MSRs per-cpu.','Wincy Van'
'[New]','[PATCH v3 4/6] KVM: nVMX: Enable nested apic register virtualization.','Wincy Van'
